name,gender,country_code,country,disciplines,birth_date
ALEKSANYAN Artur,Male,ARM,Armenia,['Wrestling'],10/21/1991
AMOYAN Malkhas,Male,ARM,Armenia,['Wrestling'],1/22/1999
GALSTYAN Slavik,Male,ARM,Armenia,['Wrestling'],12/21/1996
HARUTYUNYAN Arsen,Male,ARM,Armenia,['Wrestling'],11/22/1999
TEVANYAN Vazgen,Male,ARM,Armenia,['Wrestling'],10/27/1999
ARENAS Lorena,Female,COL,Colombia,['Athletics'],9/17/1993
McKENZIE Ashley,Male,JAM,Jamaica,['Judo'],7/17/1989
BASS BITTAYE Gina Mariam,Female,GAM,Gambia,['Athletics'],5/3/1995
CAMARA Ebrahima,Male,GAM,Gambia,['Athletics'],9/18/1996
RUEDA SANTOS Lizeth,Female,MEX,Mexico,['Triathlon'],3/7/1994
TAPIA VIDAL Rosa Maria,Female,MEX,Mexico,['Triathlon'],8/27/1997
GRAJALES Crisanto,Male,MEX,Mexico,['Triathlon'],5/6/1987
MAAROUFOU Hachim,Male,COM,Comoros,['Athletics'],2/13/1997
SAADI Maesha,Female,COM,Comoros,['Swimming'],1/16/2007
DIOSDADO Nuria,Female,MEX,Mexico,['Artistic Swimming'],8/22/1990
JIMENEZ Joana,Female,MEX,Mexico,['Artistic Swimming'],8/19/1993
SOBRINO Jessica,Female,MEX,Mexico,['Artistic Swimming'],5/26/1994
ALFEREZ Regina,Female,MEX,Mexico,['Artistic Swimming'],12/1/1997
ARELLANO Fernanda,Female,MEX,Mexico,['Artistic Swimming'],2/28/2002
TOSCANO Pamela,Female,MEX,Mexico,['Artistic Swimming'],1/13/2000
GONZALEZ Itzamary,Female,MEX,Mexico,['Artistic Swimming'],11/14/2003
RODRIGUEZ Samanta,Female,MEX,Mexico,['Artistic Swimming'],12/5/1994
INZUNZA Glenda,Female,MEX,Mexico,['Artistic Swimming'],3/12/2000
SEHEN Sajjad,Male,IRQ,Iraq,['Judo'],3/8/1996
RUBAIAWI Ali Ammar Yusur,Male,IRQ,Iraq,['Weightlifting'],8/2/2004
ISMAIL Mohamed,Male,DJI,Djibouti,['Athletics'],1/1/1997
HASSAN Ibrahim,Male,DJI,Djibouti,['Athletics'],1/1/1997
WAISS Abdi,Male,DJI,Djibouti,['Athletics'],7/3/1996
HASSAN NOUR Samiyah,Female,DJI,Djibouti,['Athletics'],12/5/1999
HOUSSEIN BARKAT Houmed,Male,DJI,Djibouti,['Swimming'],4/4/2004
BARAT Andy,Male,COM,Comoros,['Canoe Slalom'],11/29/1997
MARTINEZ RAMIREZ Miguel Angel,Male,MEX,Mexico,['Boxing'],3/17/2001
VERDE ALVAREZ Marco Alonso,Male,MEX,Mexico,['Boxing'],2/11/2002
GONZALEZ Alegna,Female,MEX,Mexico,['Athletics'],1/2/1999
LOPEZ Jesus Tonatiu,Male,MEX,Mexico,['Athletics'],8/2/1997
PORTILLO Erick,Male,MEX,Mexico,['Athletics'],10/5/2000
MUNOZ Uziel,Male,MEX,Mexico,['Athletics'],9/8/1995
del REAL Diego,Male,MEX,Mexico,['Athletics'],3/6/1994
DOCTOR Jose Luis,Male,MEX,Mexico,['Athletics'],6/14/1996
MORAN Paola,Female,MEX,Mexico,['Athletics'],2/25/1997
GALVAN Laura,Female,MEX,Mexico,['Athletics'],10/5/1991
CORTES Alma Delia,Female,MEX,Mexico,['Athletics'],12/26/1997
CRISTIAN MOSCOTE Citlali,Female,MEX,Mexico,['Athletics'],4/15/1995
PALMA OLIVARES Ever Jair,Male,MEX,Mexico,['Athletics'],3/18/1992
OETLING RAMIREZ Elena,Female,MEX,Mexico,['Sailing'],4/18/1993
AGUILAR CHAVEZ PEON Mariana,Female,MEX,Mexico,['Sailing'],3/12/1999
LECHUGA ALANIS Kenia,Female,MEX,Mexico,['Rowing'],6/26/1994
LOPEZ GARCIA Alexis,Male,MEX,Mexico,['Rowing'],5/1/1997
CARBALLO NIETO Miguel,Male,MEX,Mexico,['Rowing'],7/8/1992
BLANCO Luisa,Female,COL,Colombia,['Artistic Gymnastics'],11/18/2001
